Source,Target,Weight_n,Weight
23131842,29499890,115.3943661971831,8193
30640737,22570602,49.33734939759036,8190
26372299,22251262,34.814655172413794,8077
9273229,4340671,424.1578947368421,8059
26372299,540523,34.6551724137931,8040
8515293,35705552,12.920967741935485,8011
39744854,8601062,565.3571428571429,7915
39744854,22429909,565.3571428571429,7915
39744854,24464020,565.3571428571429,7915
34024040,28704387,177.0681818181818,7791
34761,5682723,64.11570247933884,7758
57208827,57206098,429.1666666666667,7725
2600924,145462,22.33623188405797,7706
27123053,11186982,196.84615384615384,7677
27123053,14588661,196.84615384615384,7677
27123053,28177614,196.84615384615384,7677
27123053,32386349,196.84615384615384,7677
27123053,36550,196.82051282051282,7676
17839641,23582163,9.239709443099274,7632
31853150,56306656,230.9090909090909,7620
57208827,48186668,422.3333333333333,7602
20953605,17582542,118.421875,7579
20953605,18660281,118.421875,7579
20953605,20675053,118.421875,7579
20953605,23069112,118.421875,7579
20953605,25209730,118.421875,7579
20953605,39760794,118.421875,7579
16390062,38816004,216.34285714285716,7572
50354362,2700969,35.889952153110045,7501
29519065,20136360,439.2352941176471,7467
29519065,16658622,438.88235294117646,7461
29519065,42495813,438.88235294117646,7461
29519065,47886627,438.88235294117646,7461
42962241,27639580,132.33928571428572,7411
42962241,21333333,132.14285714285714,7400
11441223,34559523,113.6,7384
34698409,7318424,141.8653846153846,7377
22505468,29936007,156.89361702127658,7374
63990238,37541071,67.71296296296296,7313
18719564,30551205,347.57142857142856,7299
31687301,6534442,74.81443298969072,7257
49109948,35059512,153.95744680851064,7236
17069553,32111894,211.52941176470588,7192
17069553,35090724,211.41176470588235,7188
17069553,37869921,211.2941176470588,7184
49494559,7318424,129.98181818181817,7149
23452313,36550,126.89285714285714,7106
23452313,15043282,126.89285714285714,7106
23452313,15747402,126.89285714285714,7106
23452313,21297172,126.89285714285714,7106
23452313,27071148,126.89285714285714,7106
23452313,35496209,126.89285714285714,7106
23452313,37617380,126.89285714285714,7106
23452313,42063672,126.89285714285714,7106
58671714,6534442,185.23684210526315,7039
